review_id,text,category
62,"Purchased this screen last week and it came with noticeable scrapes across the top. The box it came in was gigantic with plenty of packaging material, but the screen was packaged loosely at the bottom. However, since it was in another smaller box, I'm thinking that the scraping was there to begin with, and not from shipping. Still deciding whether to go through the trouble of exchanging it since another reviewer said they had the same damage. I wouldn't want to risk getting another with the same damage and I really need a screen right now. Other than the damage, it's a very nice screen.",delivery
1020,"This pepper mill does not work well at all, it takes a lot of hand crunching to get the pepper ground and the refill 'twist off' plastic cap on the bottom on mine does not even open.The lip of the plastic cap hits the side of the pepper mill plastic body not allowing the refill cap to come off ! I used it until it ran out of pepper and that's it. Writing the manufacturer to get a refund. Shoddy construction. Get yourself a good old-fashioned wooden pepper mill.",customer support
569,"When I received this, not only was it way too small for me, the first and only thing I noticed was the horrible smell that came out of the packaging! It was unbearable, sort of like a burnt rubber smell. There's no way I would recommend this to anyone. There are definitely other products on the market that do the job!!",delivery
542,Price and function are two of the main reasons I now own this camcorder. I have webtv so I can capture all of the stills I need and do it quite easily and without software and a computer.Keep it simple stan is definitly my mantra and this camcorder helps me do just that. More functions and options would just go to waste and be confusing.It is light and ergonomic and I got a free tripod and camera bag with mine at circuit city. I wouldn't buy electronics on line again (been there done that). A longer battery life would be all I would ask for .,pricing
25,"I have had the charger for more than two years. It charges AA batteries just fine, but has a huge problem securing smaller AAA batteries. To charge the smaller batteries you need to flip down the little button at the positive end. In the beginning one of the four AAA batteries would pop up, and now three out of the four won't hold. The problem is the flip mechanism became loose, and any horizontal pressure would push the buttons back up. What I have to do now is using duct tape and a segment of crayon, apply the crayon on the buttons, and wrap the tape around. You know how painful that is.",other
17,"After I had a DVT my doctor required me to wear compression stockings. I wore ugly white TED hose and yucky thick brown stockings. Then I found Jobst UltraSheer. They gave me the compression I needed (15-20,) but looked like regular pantyhose. Even though my blood clot has been gone for 4 years, I still buy these to wear as support stockings because they make my legs feel so nice.**Note, I have problems with the rubberized tops rolling down my thigh. I tried the Jobst adhesive, but I hated having my skin pulled all day. I bought an inexpensive garter belt and it works fine and helps keep the stockings from rolling.",pricing
13,"I guess you have to be a romance novel lover for this one, and not a very discerning one. All others beware! It is absolute drivel. I figured I was in trouble when a typo is prominently featured on the back cover, but the first page of the book removed all doubt. Wait - maybe I'm missing the point. A quick re-read of the beginning now makes it clear. This has to be an intentional churning of over-heated prose for satiric purposes. Phew, so glad I didn't waste $10.95 after all.",other
144,"Unless they sent me the wrong product by mistake, the foot cushion picture and description does not match the item delivered. I was under the impression I would receive two (a pair) of water filled foot cushions that I could insert into my shoes. Instead I received ONE foot cushion, filled with another material (not water) that you attach to your foot via a toe strap. I was definately not happy with the item and sent it back for a refund. Luckily for me Amazon has a great return policy... they make returns very easy!",customer support
14,"I feel I have to write to keep others from wasting their money. This book seems to have been written by a 7th grader with poor grammatical skills for her age! As another reviewer points out, there is a misspelling on the cover, and I believe there is at least one per chapter. For example, it was mentioned twice that she had a ""lean"" on her house. I was so distracted by the poor writing and weak plot, that I decided to read with a pencil in hand to mark all of the horrible grammar and spelling. Please don't waste your money. I too, believe that the good reviews must have been written by the author's relatives. I will not put much faith in the reviews from now on!",other
919,Keeps food warm. Sticks to the tray of the high chair. Gerber bowl doesn't stick. The little dividers are nice for serving. The only complaint is that it is very difficult to get the divided bowl off the bottom.,customer support
588,"I ordered a 3X, because that's the size that the website said to order, it came and lacked about 8 inches closing....so I looked at the package and it says I should have ordered a 5x...seemed extreme, but I exchanged it.I was very impressed with the speed of the exchange, I'll say that....However, when the 5X arrived, it's so big it just gaps and falls off? So, was the 3X mislabeled, or is this 5x mislabeled? I'm needing something with some firm support for post surgery care....so I really don't know what to do at this point?",delivery
29,"This VCR/DVD was an early Christmas present to myself after deciding to join the rest of the world in DVD-land but not wanting to let go of my VHS movies quite yet. Based on the reviews and price, and because I own a JVC TV, this was my choice. I agree with the easy set-up. It's a bit awkward to work the whole TV/VHS/DVD selection options but I think I've gotten the hang of it.Two comments: it's not intuitive and actually is pretty complicated (too many buttons on the remote but that might please others who are more technically-minded than me) so I've had to rely heavily on the how-to manual. And setting the VCR timer is awkward -- you can't enter the start and end time but have to scroll (unless I'm missing something)...but those are my only complaints. This is a good product for your $$$.",pricing
0,This sound track was beautiful! It paints the senery in your mind so well I would recomend it even to people who hate vid. game music! I have played the game Chrono Cross but out of all of the games I have ever played it has the best music! It backs away from crude keyboarding and takes a fresher step with grate guitars and soulful orchestras. It would impress anyone who cares to listen! ^_^,other
22,"Rather than scratches and insect droppings, this one has random pixelations combined with muddy light and vague image resolution. Probably the cue should have been the packaging is straight out of your street corner bootleg dealer.If you've ever seen a reasonably good condition film copy, you know the defining visuals of his film are the crystal clear lighting contrasts in black and white. The surrounding countryside and 'old home' scenes are set with early morning ground mists or the haze of memory while the events on the bridge and in the water are bright, clear, and immediate.Here everything is dull, dark, and clouded. Or, if you remember the timbre and enunciation of Captain's commands, so are the visuals.After that, it is hard to believe this award winning, critically acclaimed film's best presentation is on YOUTUBE. Somewhere ""out there"" is a DVD that comes up to the standard of a 16mm public library reel.Just none of them appear to be on Amazon.",delivery
136,"Outrun was the biggest disappointment of my holidays.If you've just come home from a life in 1985 you might enjoy this. I read the reviews before buying but it didn't sink in what Arcade style meant. I am an addicted follower of Colin MacRea rally and thought to race a ferrari across the US would be cool. I was wrong. The games is to car racing what space invaders is to ""Battlefield"". The landscape moves instead of the car and you have these idiotic stages like impress your girlfriend with how many slides you can do. Total rubbish. Not anyones fault but mine, but I live in Ireland and got it shipped through Florida so it is a costly mistake.",delivery
323,The bench is very nice. I had a few pieces that looked like they were painted over scratches and some of the metal were scratched. I was unsure of some of the screws as you can not tighten it too much or is strips the plastic. wasnt sure on the indents on the metal bars which way they were suppose to go on. the bench broke after sitting on it three times. The glider bar broke. the weld is not very good or sturdy.,product quality
15,"It's glaringly obvious that all of the glowing reviews have been written by the same person, perhaps the author herself. They all have the same misspellings and poor sentence structure that is featured in the book. Who made Veronica Haddon think she is an author?",other
31,"I'm a JVC nut...I have 3 JVC televisions, one VCR, one bookshelf audio system and car audio system. So when it came time to move the VCR player to the boys room and get another one for the old man I knew what make it was going to be. I decided on the combo player because I don't think VHS is going to be around much longer. I like my combo player except for 2 things:(1)no cable box compatability on the remote control (2)no seperate audio video inputs only input for coax cable from my cable box so all of the cable programming is in mono...wife can't tell the difference in the sound so if she's happy then I'll just live with it. VCR and DVD look and sound GREAT!!!!!!!",other
571,"Please note that I ordered three of these items as gifts and was surprised to see that only one arrived in its original packaging (with plastic cover and without any signs of it being worn). The other two had no plastic cover and had obvious streaks on the material. All three were advertized as ""New"" on Amazon site. Before you decide to buy new item, beware that you may be receiving item that someone else has returned so please inspect for any signs of item being worn (if fabric is stretched or not in its original plastic cover). These items should be advertized correctly and not sold as ""New""",delivery
553,"I received my Squeem 1 month ago and was super excited when i first wore it but then the bone started sticking into my back right under my bra line it wasnt very comfortable not like when i tried it in the store and the top kept rolling over giving me the appearance of more rolls in the back. This was definaitely NOT the look i was going for LOL. Luckily i decided to dtop in the store where i first saw & tried it and spoke to one of the clerks who told me i had to pull it all the was down till it was half-way covering my butt & hips. EUREKA!! What a difference this made now i'm loving it and hardly leave home without it. I originally bought the XL nude now i'm getting ready to purchase the black vest in a L. Great product, my only complaint is that the bones could be firmer.",customer support
365,"The picture on this camera is good and it needs very little light. However, the colors are not quite as accurate as I had hoped for Hi8. Perhaps digital would have been better, but the price was a factor. I shopped around and found Amazon had the best price available.",pricing
343,"This pedal is cheaply made but it sounds terrific, makes even a cheap organ sound half decent.It really does give you that Leslie effect if you mess around with the settings a little.It smells of burnt rubber as it is cheaply made but apart from that, I would highlyrecommend it for a keyboard but not much use for a guitar really. The price is good forwhat you get as with all Danelectro effect pedals. I received mine through Jax Music Supply, LLCwho were great to deal with, for a fast and reliable service.",product quality
271,"Dockers are Dockers, so that's not the problem. Just be sure you don't trust the images if you choose to buy these via Amazon. ""Cafe,"" for example, should be ""Coffee."" Despite the fact that the image for ""Cafe"" shows a stone or very light gray color, ""Cafe"" is actually dark brown. So the product isn't defective, but IS misleading: I didn't want brown pants, but that's what I got.",product quality
19,sizes are much smaller than what is recomended in the chart. I tried to put it and sheer it!. I guess you should not buy this item in the internet..it is better to go to the store and check it,other
643,"I love how this product makes me look in my clothes!!! its shapes me into a perfect hourglass! i dont know if the claim that it permanantley reduces your waist after 30 days is true because i havent had it that long. my only complaints are that it is a little too short, so i still have a small bulge over the top in vthe back and i think it may be stretching out as i wear it as oppossed to it shrinking me, but overall, it is the best shapewear i have ever purchased. i love it and would recommend it to anyone.",customer support
28,"I was excited to find a book ostensibly about Muslim feminism, but this volume did not live up to the expectations.One essay, among other things, describes the veil as potentially liberating. It doesn't begin to explain how or why.Another, on Muslim women in Cape Town, claims that Muslim women there are separate but ""more than equal."" Gee whiz, what a disappointment.I had expected and hoped for at least one Muslim feminist condemnation of gender apartheid. But there is not a single one in the book.I'm surprised it didn't have an essay extolling the virtues of female genital mutilation.--Alyssa A. Lappen",other
272,"I have worn these pants for years; my size is the same as always. I couldn't get them on; they were so tight I couldn't get the button buttoned around the waist. What is going on? These pants seemed to be cut for a skinny 25 year old, not someone who is a little on the hefty side. Further, the shipping and handling charges are just out of sight...$16.95 above and beyond the already rather pricy product. I would not recommend doing business with this seller at all. You can go to other outlets and get the same thing without the shipping and handling, and there are ""deals"" out there from major store chains. I was really disappointed in this product and the seller. Go to WalMart and get their khakis; they are very inexpensive and wear like iron.",delivery
164,"I purchased the Alphabet blocks for my twin daughters. They are just over 8 months old and they love them. This product is a great learning tool for them for years to come but for now it a great teething toy!!! I would recommend this to anyone, plus I love Fisher Price.",pricing
216,"I bought this game because I am a figure skating fan and found the Barbie Gymnastics to be well done, so I thought that this would be too. It was an absolute waste of money. The graphics are awful and the game play is far too simplistic. There is nothing to strive for in the game and it is too easy to pass onto the next level. I can't imagine a child above the age of 3 or 4 getting any enjoyment from this game.",pricing
100,Book shipped quickly and was in excellent condition as stated. Easy transaction would buy again,delivery
446,I love Curve and this is a large bottle which make is a very good value. Highly recommended.,pricing
155,"Although all of Mr Hines work is high quality, Waving Not Drowning (for me) is the highlight of the 3 A&M projects. The song ""Curious Kind"" is simply a masterpiece!The remastering is of the quality you have come to expect from one of Rock's greatest producers, song writers, and performers.GET IT!",product quality
12,"I thought this book was brilliant, but yet realistic. It showed me that to error is human. I loved the fact that this writer showed the loving side of God and not the revengeful side of him. I loved how it twisted and turned and I could not put it down. I also loved The glass castle.",other
171,This set incorporates a lot of the favorites from other sets packaged in an A to Z learning format. I have been leary of purchasing too many of these blocks for storage reasons so the zippered case is a great bonus. Definitely worth every penny.,delivery
244,"I bought this book because I am a nonogram (also called Paint By Number) addict, and can't get enough of this type of puzzle. My disappointment is not so much with the quality of the puzzles within it but with the quality of the publishing. The paper is poor quality; it won't hold up under much erasing if you use pencil, and if you use gel pens, the ink bleeds through to the other side. The squares to color in are too large, making the finished image very pixillated and hard to make out. Also, the guide numbers are located at the right and bottom edges of the puzzle, instead of left and top, making it more difficult for a right-handed person to see while solving.Save your money, and buy the Games Magazine publication instead.",product quality
21,"I thought it was funny that I bought this product without knowing it was a mix. I read the header very quickly and just thought it was packaged cookies. But no, it is cookie MIX and I guess I should have noticed that since it is right in the title.This is the first time I have ever tried baking with a cookie mix. If you are used to the convenience of the cookie dough that you buy wrapped up in plastic logs then you might be in for a bit of a surprise. Mixing up the dough can get VERY messy (it is extremely sticky). However, with a cookie mix like this you have a lot of flexibility in the ratio of ingredients (I like to add some extra butter to make the baked cookies more chewy). Also, this mix has really large chocolate chips in it--I love that.I removed a star for the addition of 'natural flavors' in the mix.",delivery
1124,"In a complaint to Macally regarding intermittent charging, their response was:Macally PS-AC4 AC Power Adapter for Apple G4Thank you for contacting us.Our PS-AC4 has problem with the 12"" PowerBook G4. At this moment, we do not have any working one for your computer.",customer support
80,"While the movie in itself was better than i expected what i didnt expect was the ""non existent"" Thai soundtrack. While the option was on the disc menu (as well as stated on the package) the Thai soundtrack does not exist. No matter what you choose, Thai or English, English is what you get and while there are some exceptions most dubbing is ridiculous at best and the dubbing on this title is sub par. While this review covers only the first movie of the two the other may remain in plastic never to see the inside of my dvd player. Its a shame and a sham when you purchase what claims to be original and is not. Very disapointed in this offering from Tokyo Shock.",delivery
320,"The thing that most people don't understand about the FFVI sound track is that it couldn't possibly sound the same as the game. When people buy it they are expecting the exact same music and they heard while playing it, but it just wouldn't be done. On the original SNES system that this game was made for it had a very poor sound quality system in it. It was only about 16 bits if even that much. Nobody would want to listen to the poor quality music that the game produced when they could hear it orchestrated and remastered like the future FF Series games had. All in all i thought that this sound track was an excellent portrayal of the way the music should have sounded, had the game been placed on a CD based system instead of a 16 bit SNES cartridge system.",product quality
1142,"This is a good replacement for the Apple Charger. Only a couple of notes to make.1. The blue light doesn't indicate whether the notebook is charging or not, only if the cord is plugged into the outlet. This means that you can't really tell what is going on unless you open your laptop and make sure the indicator is showing that it is charging.2. If you drain your battery fully, so your laptop goes to sleep BE WARNED... You will not be able to plug it in and resume working right away. I had to plug it in and let it charge up for a good while before I could operate my Powerbook again, pulling power to operate the computer and charge the battery. This has been most annoying.Other than those weird gripes, it is a sufficient power adapter.",customer support
7,"I loved Whisper of the wicked saints. The story was amazing and I was pleasantly surprised at the changes in the book. I am not normaly someone who is into romance novels, but the world was raving about this book and so I bought it. I loved it !! This is a brilliant story because it is so true. This book was so wonderful that I have told all of my friends to read it. It is not a typical romance, it is so much more. Not reading this book is a crime, becuase you are missing out on a heart warming story.",other
307,"At first I was disappointed that this wasn't a longer book, but then I realized that it is great to give away to curious friends and parents as an introduction to Love and Logic. I just wish it was a little cheaper.",product quality
327,"Right after I clicked the purchase button for this, I remember wondering what the heck I was doing buying a glider bench off the internet. It was so reasonably priced compared to the ones I had checked out in stores, I figured I was getting some flimsy, poorly made item. But this bench is awesome! My husband put it together in about 30 minutes by himself and it's sturdy but light enough that I can drag it around our backyard to catch the sun (or not). It has held up to all the wet weather we've had, it's easy to clean and glides beautifully. It really is a quality product - I'm thinking of buying a second one for our patio.",product quality
270,"If you search for Super Saver shipping this advertisement comes up, but this product is not shipped by Amazon is does not go out with the Super Saver shipping, and the cost of shipping is nearly 20% the cost of the pants.",delivery
606,"The package says it goes from lower belly to just under bust. I am a short woman and it doesn't reach my ribs leaving me with two huge rolls of fat on the front and back. It takes me in great, love that about it but because it isn't long enough I can't wear it anywhere:(",delivery
221,"For anybody who's looking for the 1978 movie with Lauren Bacall - this is not it ! Actually it's a 12 minute CBS music video by a group called ""Perfect Gentleman"" with 2 titles on it: ""Ooh la la"" and ""One more Chance"". This is not a rating of this video (I didn't bother watching it) but just of the fact that there's absolutely no information in the Amazon product details which could have told me this wasn't the feature film I was looking for before I ordered it. That's even more a pity as it was the fastest delivery I ever got from the US to Europe by Mail - a very short-lived joy.",delivery
20,"This model may be ok for sedentary types, but I'm active and get around alot in my job - consistently found these stockings rolled up down by my ankles! Not Good!! Solution: go with the standard compression stocking, 20-30, stock #114622. Excellent support, stays up and gives me what I need. Both pair of these also tore as I struggled to pull them up all the time. Good riddance/bad investment!",other
325,"Chair is the product ordered, however it came with gauges in the arms. The chair was well packed and the damage appeared to have happened at the factory before wrapping for shipment. Poor quality control. Not worth returning the product. Other than that, the bench is substantial and as promised. I have pictures taken while I was unwrapping, but couldn't figure out how to include them.",product quality
207,I have been using this product for 5+ years. It was wonderful. About 1 year ago the company changed packaging and the product changed slightly. The bottle is taller now and something is missing from the serum. Doesn't work as well as it used to work. I will not be purchasing this item because of the change.,delivery
1000,"As far as I'm concerned the most important holiday every year is Academy Awards night, with the second most important being the day the nominations are announced. Obviously, the Academy Awards are my life and Inside Oscar is my Bible. No matter what page you open this book, you'll be totally drawn and completely forget about time. If I had one complaint it's that too much time is spent on recent years while earlier decades are given less attention. Still, it's such a wonderfully written book, so catty and bitchy, but all in fun; I can't wait for the next edition and find out all the shenanigans involving Titanic and how it's possible Helen Hunt beat Kate Winslet....",customer support
10,"A complete waste of time. Typographical errors, poor grammar, and a totally pathetic plot add up to absolutely nothing. I'm embarrassed for this author and very disappointed I actually paid for this book.",other
1055,I purchased this product 3 weeks ago. I purchased this because the ball is soft and doesn't hurt the little guys.I have 4 children that LOVE the game however after use the ball started to rip. It is now ripped from the pole and I have been unable to locate a replacement.,customer support
440,"I ordered the set of swords on December 9th (Sunday) and recieved the swords today (Wednesday, the 12). The Shipping was absolutly BLAZING! UPS Shipped with a Tracking Number made me confident in Sword Demon. Packaging was great and everything was alright. I would deffiently buy from Sword Demon again.These swords are UNSHARPENED. It would appear that Stainless Steel is not very good for sharpening them either. These are really ""Wallhanger"" katana's, But when your buddies come over and see them, they almost cry. These are just the coolest swords because of the movie. All the symbols and words on the blades are actually etched. The symbols and the like are the exact same from the movie.",delivery
480,For the mpost part any book by David Donald is worth the time and effort to read. This book offers fresh insights into the perception of Lincoln. Belongs on the shelf of every person interested in 19th century America.,pricing
326,"Good quality and fairly easy to assemble, although it helps to have 2 people. It is quite comfortable and looks nice.",product quality
139,"What it is about ""Henry Dog"". My daughter was 6 when we gave her Henry. Love is not the word. Obsession! A few years later my ex-wife decided he had to go. Under the guise of an ""incurable"" lice infection my ex-wife threw him out. Trauma followed. We bought a replacement which my daughter has safely on her closet shelf. He is thread bare. I found him online and was overwhelmed to read the reviews at Amazon.com. None had less than 5 stars. Each story told how this little guy had touched their lives. These Henry owners, both girls and boys, cherished him as if he had been a ""real"" dog. I guess to them, he is. Daddy had to buy his little (40 year old) daughter a new one. I got both the 14"" and 3"". I was on the phone when she opened the box..... Henry was home again. My granddaughter saw Henry got excited and wanted one also. She is 19 years old. This company should bottle ""Henry Dog`s"" charisma. Thanks for keeping him alive.",customer support
265,"I DID NOT GET THE SLACK THAT HAD THE WAISTBAND. I GOT SLACK WITH NO WAISTBAND, SO I SEND THEM BACK AN WAS TRYING TO GE A 42 29 BUT I RECEIVED A E MAIL STATETING THAT THE PRODUCT WAS NO LONGER AVABILITY. SO FAR I'AM NOT SURE WERE MY REFUND WENT. PLEASE LET ME KNOW.TOM ATKINSON",customer support
11,"This was a great book,I just could not put it down,and could not read it fast enough. Boy what a book the twist and turns in this just keeps you guessing and wanting to know what is going to happen next. This book makes you fall in love and can heat you up,it can also make you so angery. this book can make you go throu several of your emotions. This is a quick read romance. It is something that you will want to end your day off with if you read at night.",other
16,"When you hear folks say that they don't make 'em like that anymore, they might be talking about ""BY THE SEA"". This is a very cool story about a young Cuban girl searching for idenity who stumbles into a coastal resort kitchen gig with a zen motorcycle maintenance man, three hysterical Italian chefs and a Latino fireballing right handed pitcher who plays on the team sponsored by the resort's owner. As is often the case she 'finds' herself through honest, often comical but always emotional, interaction with this sizzling roster of players. With the perfect mix of special effects, that salsa sound and flashbacks, BY THE SEA, gets 4 BIG stars from me!",other
556,I received this in the mail and followed the measurements on the site to get my size...when it arrived I could not fasten it as it was too small.........AND THERE IS NO REFUND.....So I didn't wear it or use it....and I am out $35.00 plus....for the privilege of not getting the product I asked for....one I could wear and use...will not buy from this seller again,customer support
5,"I am quite sure any of you actually taking the time to read this have played the game at least once, and heard at least a few of the tracks here. And whether you were aware of it or not, Mitsuda's music contributed greatly to the mood of every single minute of the whole game.Composed of 3 CDs and quite a few songs (I haven't an exact count), all of which are heart-rendering and impressively remarkable, this soundtrack is one I assure you you will not forget. It has everything for every listener -- from fast-paced and energetic (Dancing the Tokage or Termina Home), to slower and more haunting (Dragon God), to purely beautifully composed (Time's Scar), to even some fantastic vocals (Radical Dreamers).This is one of the best videogame soundtracks out there, and surely Mitsuda's best ever. ^_^",other
23,"I thoroughly enjoyed Rising Sons and Daughters. I don't know of any other book that looks at Japanese society from the point of view of its young people poised as they are between their parents' age-old Japanese culture of restraint and obedience to the will of the community, and their peers' adulation of Western culture. True to form, the ""New Young"" of Japan seem to be creating an ""international"" blend, as the Ando family demonstrates in this beautifully written book of vignettes of the private lives of members of this family. Steven Wardell is clearly a talented young author, adopted for some of his schooling into this family of four teens, and thus able to view family life in Japan from the inside out. A great read!",other
269,"This product was just what I was hoping for, and I had no problem with shipping. I highly recommend this product.",delivery
340,"I have waited nearly four months for this album and the wait is finally over, it's a good little album, show casing the many talents of this great metal band. It's not left hand path or wolverine blues material (both albums are in a league of their own, respectively) but for a moment just try to forget about the past work of entombed and listen to this like u are listening to them for the first time, I know that it is hard though. I recommend for the metal maniacs, entombed's new album, ""uprising"". I have owned it for about 2 weeks and it gets better with each listen, one for the collection. Entombed are the greatest band in the whole world...Cheers!",product quality
550,I just ordered this fudge. It looked so good and seemed to be priced well I thought I would give it a try. I have looked at just about every store where we live and can not find any maple fudge. I am hoping this will taste as good as it looks. I will send another feedback after I have had my first bite. Can't wait.,pricing
9,"This was a easy to read book that made me want to keep reading on and on, not easy to put down.It left me wanting to read the follow on, which I hope is coming soon. I used to read a lot but have gotten away from it. This book made me want to read again. Very enjoyable.",other
125,"This cereal is great because it tastes so good. You just crave it. But a word of warning: read the label. Last time my husband and I looked, it had saturated fat! All the other cereals in our cabinet did not... hmmmm. Another reviewer noticed this problem too!Also, Amazon's price of $23 is outrageous. It is between $1.99 to $2.50 in our stores.",pricing
444,"Bought for my mom for Christmas she loves this perfume and it does actually smell pretty good however I was supposed to recieve my order by the 20th at the latest.its now the night of the 22nd and I am very worried it wont be here for Christmas. UPDATE: Spoke with Amazons customer service and they are replacing my missing item. It will be here tomorrow. Still sucks cuz it wasn't here in time for christmas, however I'm just glad they are replacing it for me.",customer support
612,Product is as shown but they didnt have it in stock and it took them almost a month to ship. And then instead of sending next day to compensate they sent it regular mail so it took another week to receive. Not too happy with their customer service.,customer support
152,"This is one of those cheesy compilations where they find session bands and similar sounding artists to sing the songs. These are NOT ORIGINAL SONGS BY THE ARTISTS. If you loved K-TEL CD's and don't care about hearing the artists originals, and don't care about cheap sounding synthesizers playing the music or that fact that some of the vocalists are pretty bad, then you might like this cd. But if you are a fan of the 80's and the amazing music it produced, then buy other collections and don't waste your money on this schlock!!!!",product quality
8,"I just finished reading Whisper of the Wicked saints. I fell in love with the caracters. I expected an average romance read, but instead I found one of my favorite books of all time. Just when I thought I could predict the outcome I was shocked ! The writting was so descriptive that my heart broke when Julia's did and I felt as if I was there with them instead of just a distant reader. If you are a lover of romance novels then this is a must read. Don't let the cover fool you this book is spectacular!",product quality
172,These are great blocks but they are definitely not worth the listed $79.99. They can be purchsed for about $20 many other places.,pricing
586,"I ordered this waist cincher specifically to wear on my wedding day with my beautiful sleeveless dress. Unfortunately, they shipped the WRONG thing, and now I am stuck with a big, bulky and hideous vest! It has very ugly racerback straps, and I will definitely not be able to wear this under my dress. And the worst part, I'm out the money! I can't even return it for a refund, even though I haven't opened the box. VERY disappointed in this company. Buyer beware!",delivery
197,You get what you pay for. This pillow is stiff and smelled like drying paint for 4 days. I thought I was getting a non name brand version of the Temperpedic pillow. I bought the real pillow for my mother years ago and paid many times the price. This thing doesn't even come close.,pricing
236,LJ smith is a fantastic author who inspires others to create stories and poetry that shows their true brilliance. Daughters of Darkness has a special quality about it which induces feeling of love and adventure all at the same time. I would not be surprised if people respond well to this novel!,product quality
1140,"I read the reviews before purchasing this adapter, and I guess I simply got a dud. That happens, but the tech support is horrible. The support staff was very unhelpful and told me it would take weeks to replace.The other adapter replacements don't seem much better, given the poor reviews for Kensington's model.Just hope you don't get a dud.",customer support
61,"The screen arrived in a cardboard box that was pretty beat up. The screen itself is very lightweight, very cheesy looking. The ""finish"" was worn across the entire top of the screen. I knew this wasn't solid brass, but I expected something that at least looked decent from a distance for the price I paid.",pricing
