text,category,predicted,confidence
"As far as I'm concerned the most important holiday every year is Academy Awards night, with the second most important being the day the nominations are announced. Obviously, the Academy Awards are my life and Inside Oscar is my Bible. No matter what page you open this book, you'll be totally drawn and completely forget about time. If I had one complaint it's that too much time is spent on recent years while earlier decades are given less attention. Still, it's such a wonderfully written book, so catty and bitchy, but all in fun; I can't wait for the next edition and find out all the shenanigans involving Titanic and how it's possible Helen Hunt beat Kate Winslet....",customer support,other,0.2666271514411857
"Generally speaking a great book if you are not familiar with management accounting and turning heaps of information into valuable reports for your top management group. No doubt about it: This book will provide the basic tools for keeping your boss happy, especially if you need a brush-up on moving averages, etc. Having vast experience with both advanced financial and non-financial analysis on various aspects of business (shipping and construction), this book was somewhat a let down in terms of ability to inspire and provide ways to improve personal skills to structure and present complex topics in an ordered and clear fashion. A nice bedtable-reader for the pre-MBA. MBAs should look elsewhere.",delivery,other,0.26652010909608437
"Dockers are Dockers, so that's not the problem. Just be sure you don't trust the images if you choose to buy these via Amazon. ""Cafe,"" for example, should be ""Coffee."" Despite the fact that the image for ""Cafe"" shows a stone or very light gray color, ""Cafe"" is actually dark brown. So the product isn't defective, but IS misleading: I didn't want brown pants, but that's what I got.",product quality,delivery,0.26639736071638404
"Chair is the product ordered, however it came with gauges in the arms. The chair was well packed and the damage appeared to have happened at the factory before wrapping for shipment. Poor quality control. Not worth returning the product. Other than that, the bench is substantial and as promised. I have pictures taken while I was unwrapping, but couldn't figure out how to include them.",product quality,delivery,0.2629500225782084
Price and function are two of the main reasons I now own this camcorder. I have webtv so I can capture all of the stills I need and do it quite easily and without software and a computer.Keep it simple stan is definitly my mantra and this camcorder helps me do just that. More functions and options would just go to waste and be confusing.It is light and ergonomic and I got a free tripod and camera bag with mine at circuit city. I wouldn't buy electronics on line again (been there done that). A longer battery life would be all I would ask for .,pricing,product quality,0.26210501289616633
"I have the nude version of this chincher in small.I favour a vintage pinup look every day so the small waist is a main focus. I do have vintage styled cinchers and other authentic shapewear but they are expensive. This is a perfect substitute for day to day wear.As said in annother review you cannot wear this under clingy slinky clothes as it does ripple up at the front.I would recomend wearing a slip under it to avoid skin irritation. I wear a corset liner available from waist training specialists.The length is fine on me, going from just below the bra line down to the hip bones (I am 5ft 4)The cinching effect takes about 1.5 - 2 inches off my waist comfortably, enough to get into my vintage dior.I do not wear it enough to comment on the claims of permenant inch loss...but I think I will give it a try.",pricing,customer support,0.2620360845024078
"Unless they sent me the wrong product by mistake, the foot cushion picture and description does not match the item delivered. I was under the impression I would receive two (a pair) of water filled foot cushions that I could insert into my shoes. Instead I received ONE foot cushion, filled with another material (not water) that you attach to your foot via a toe strap. I was definately not happy with the item and sent it back for a refund. Luckily for me Amazon has a great return policy... they make returns very easy!",customer support,delivery,0.25940964676424555
I received this in the mail and followed the measurements on the site to get my size...when it arrived I could not fasten it as it was too small.........AND THERE IS NO REFUND.....So I didn't wear it or use it....and I am out $35.00 plus....for the privilege of not getting the product I asked for....one I could wear and use...will not buy from this seller again,customer support,delivery,0.25849117030717417
I have been using this product for 5+ years. It was wonderful. About 1 year ago the company changed packaging and the product changed slightly. The bottle is taller now and something is missing from the serum. Doesn't work as well as it used to work. I will not be purchasing this item because of the change.,delivery,customer support,0.25238004258964025
"I bought one of these chargers..the instructions say the lights stay on while the battery charges...true. The instructions doNT say the lights turn off when its done. Which is also true. 24 hours of charging and the lights stay on. I returned it thinking I had a bad unit.The new one did the same thing. I just kept it since it does charge...but the lights are useless since they seem to always stay on. It's a ""backup"" charger for when I manage to drain all my AAs but I wouldn't want this as my only charger.",other,customer support,0.2522500086307854
This set incorporates a lot of the favorites from other sets packaged in an A to Z learning format. I have been leary of purchasing too many of these blocks for storage reasons so the zippered case is a great bonus. Definitely worth every penny.,delivery,pricing,0.2514752017181878
Book shipped quickly and was in excellent condition as stated. Easy transaction would buy again,delivery,other,0.2507381540689952
"At first I was disappointed that this wasn't a longer book, but then I realized that it is great to give away to curious friends and parents as an introduction to Love and Logic. I just wish it was a little cheaper.",product quality,other,0.25049010322648063
I just ordered this fudge. It looked so good and seemed to be priced well I thought I would give it a try. I have looked at just about every store where we live and can not find any maple fudge. I am hoping this will taste as good as it looks. I will send another feedback after I have had my first bite. Can't wait.,pricing,delivery,0.24909817150924787
"This movie was not an original concept. The jokes were lame, as were the performances. The writer and director disappointed the audience by using Adam Sandler, Seth Rogen and Jonah Hill as a box office draw. When in fact, it wasn't worth the money to see this film in a theatre.",pricing,delivery,0.24741727495954718
"The screen arrived in a cardboard box that was pretty beat up. The screen itself is very lightweight, very cheesy looking. The ""finish"" was worn across the entire top of the screen. I knew this wasn't solid brass, but I expected something that at least looked decent from a distance for the price I paid.",pricing,delivery,0.24685690411583316
"I purchased the Alphabet blocks for my twin daughters. They are just over 8 months old and they love them. This product is a great learning tool for them for years to come but for now it a great teething toy!!! I would recommend this to anyone, plus I love Fisher Price.",pricing,delivery,0.24662857088620316
"This VCR/DVD was an early Christmas present to myself after deciding to join the rest of the world in DVD-land but not wanting to let go of my VHS movies quite yet. Based on the reviews and price, and because I own a JVC TV, this was my choice. I agree with the easy set-up. It's a bit awkward to work the whole TV/VHS/DVD selection options but I think I've gotten the hang of it.Two comments: it's not intuitive and actually is pretty complicated (too many buttons on the remote but that might please others who are more technically-minded than me) so I've had to rely heavily on the how-to manual. And setting the VCR timer is awkward -- you can't enter the start and end time but have to scroll (unless I'm missing something)...but those are my only complaints. This is a good product for your $$$.",pricing,product quality,0.24606577882049765
"Love this. I had been looking in I don't know how long for this kind of product. I've had 2 babies so far and haven't found a product like this. I had an idea of what I wanted which was kinda like a coursette, but without all the wires showing or nothing rolling up. I came across this squeem cincher and had my doubts, but I've had it for a week already (I ordered all 3, black & beige waist cincher and beige body shaper that has straps)and I've already got used to wearing it everyday, it's pretty comfortable and best of all it gives you a nice shape and flat belly look. I love it, now I'm just hoping it will help me in losing some inces from my waist. I've read that it can last up to over a year, so deffinitly worth the money. Would recommend this to everyone.",pricing,delivery,0.24421555784807386
"I first tried buying this tape from a Marketplace seller. I sent it back because the tape quality was poor and the packaging looked unprofessional. After returning it I bought one from Amazon proper and . . . it was the same quality tape and the same packaging. Since I'm now sure this is not a bootleg tape, all I can say is . . . some videos are better than others.",delivery,product quality,0.24361973437536238
sizes are much smaller than what is recomended in the chart. I tried to put it and sheer it!. I guess you should not buy this item in the internet..it is better to go to the store and check it,other,customer support,0.24335707432118486
"I read the reviews before purchasing this adapter, and I guess I simply got a dud. That happens, but the tech support is horrible. The support staff was very unhelpful and told me it would take weeks to replace.The other adapter replacements don't seem much better, given the poor reviews for Kensington's model.Just hope you don't get a dud.",customer support,other,0.24223682987806205
"I should have read the prior reviews of this record before buying it. Although it appears to be a collection of new wave singles from the 80s, these are just cover versions sung by the ""Starlite Singers"". The description of the record says that it is by ""various artists"" implying that they are by the original artists, but this is not true. Total garbage. The one bright spot is that I got a prompt refund when I returned it.",customer support,product quality,0.24137317044933035
"This model may be ok for sedentary types, but I'm active and get around alot in my job - consistently found these stockings rolled up down by my ankles! Not Good!! Solution: go with the standard compression stocking, 20-30, stock #114622. Excellent support, stays up and gives me what I need. Both pair of these also tore as I struggled to pull them up all the time. Good riddance/bad investment!",other,pricing,0.24001589744756127
"I went by the Squeem chart and my waist measurements to find the correct size but to my suprise the waist cincher did not fit. Warning, you cannot return for a refund; only merchandise credit/exchange. Also, the cincher smelled like burnt rubber. Very bulky and will be visible through clothing so you cannot wear with tight fitting clothing.",customer support,delivery,0.23928720782088503
I love Curve and this is a large bottle which make is a very good value. Highly recommended.,pricing,delivery,0.2385760956331418
"This is one of those cheesy compilations where they find session bands and similar sounding artists to sing the songs. These are NOT ORIGINAL SONGS BY THE ARTISTS. If you loved K-TEL CD's and don't care about hearing the artists originals, and don't care about cheap sounding synthesizers playing the music or that fact that some of the vocalists are pretty bad, then you might like this cd. But if you are a fan of the 80's and the amazing music it produced, then buy other collections and don't waste your money on this schlock!!!!",product quality,other,0.23849570595280845
"I am a big JVC fan, but I do not like this model, I was suspiscious when I saw several units in the return section of the store. I bought one anyway (new) and must say I am not happy. The unit sends out clicks to the receiver once in a while, the transition between scenes is not always smooth,(like a little pause) and while it is still fairly new I can't get any DVD,CD or even a DVD headcleaner to work. All I get is a ""incorrect disc"" message.",other,product quality,0.23788592194888922
"Bought for my mom for Christmas she loves this perfume and it does actually smell pretty good however I was supposed to recieve my order by the 20th at the latest.its now the night of the 22nd and I am very worried it wont be here for Christmas. UPDATE: Spoke with Amazons customer service and they are replacing my missing item. It will be here tomorrow. Still sucks cuz it wasn't here in time for christmas, however I'm just glad they are replacing it for me.",customer support,pricing,0.23765268211751717
"I heard a song or two and thought same o same o,but when i listened to songs like ""blue angel"",""lanna"" and 'mama"" the hair just rose off my neck.Roy is trully an amazing singer with a talent you don't find much now days.",other,product quality,0.23742247774401604
LJ smith is a fantastic author who inspires others to create stories and poetry that shows their true brilliance. Daughters of Darkness has a special quality about it which induces feeling of love and adventure all at the same time. I would not be surprised if people respond well to this novel!,product quality,other,0.2374045673590736
"I just finished reading Whisper of the Wicked saints. I fell in love with the caracters. I expected an average romance read, but instead I found one of my favorite books of all time. Just when I thought I could predict the outcome I was shocked ! The writting was so descriptive that my heart broke when Julia's did and I felt as if I was there with them instead of just a distant reader. If you are a lover of romance novels then this is a must read. Don't let the cover fool you this book is spectacular!",product quality,other,0.2360882086137173
"We needed to replace a wooden glider that we had in front of our house and after looking around and not really finding what we were looking for our son suggested we check Amazon.com. We chose this one because we felt it would last for a long time and the size was right. When we received it we put it together and it was very easy to assemble. The movement of the glider is smooth. The color is a little blah, but we added a couple of colorful pillows and have received many compliments on it. The price is great and we are very happy with our purchase!",pricing,product quality,0.23590993113103886
"Hawthorne's Scarlet Letter is a tale of secret love, adultery, and sadness. Every person should read this timeless American novel at some point in their life. The strength of Hester Prynne is unusual for novels composed during the time this was published, and is therefore a revolutionary literary work. My only complaint is the length of ""The Custom House,"" however horrible this sounds, I would just skip it, it does not add to the plot of the novel anyway.",customer support,other,0.2306507167917326
"This is the story of the brother of one of the secondary characters from the Leopard Lord. Farris is sold as a slave by his stepfather. Claimed by two very different gods, his fate will be decided on what he does with his life. Will he be ruled by vengeance and violence? Or will his love of the animals he tends lead him to a different choice? Ms Morland's characterization is excellent, the plotting is much improved (from good to even better). If I had a complaint, it would be that this book did not sweep me into a different world the way that the very best speculative fiction does. However, that said, it was a most enjoyable read, and I'll buy her next book, too.",customer support,other,0.23064560139987098
"this is not waterproof.its GARBAGE where batteries go in broke,while trying to adj.DO NOT BUY.you turn the end to control it,that loosens the battery cover where water gets in so how is it waterproff?????",product quality,other,0.22961827623050365
"The first one I bought was defective. The DVD didn't work at all. I purchased it from Electronics Express and when I contacted them they were wonderful. They gave me an RMA number right away, Fedex picked it up the next day and a new one arrived 1 week later. This one is just fine. I really love the clarity of the picture. My only complaint is that in DVD mode, the sound isn't loud enough. I have it in my RV and with the A/C running, I can barely hear it. I solved the problem by running an audio out jack from the TV to the input on the RV stereo speaker system. It's very lightweight and easy to move around and store. A bonus for the RV. The remote isn't great, but it works just fine and the video/audio jacks and antenna input are easy to get to as is the DVD player. All in all, it's a great deal for the price.",product quality,pricing,0.2288246413266041
"I love how this product makes me look in my clothes!!! its shapes me into a perfect hourglass! i dont know if the claim that it permanantley reduces your waist after 30 days is true because i havent had it that long. my only complaints are that it is a little too short, so i still have a small bulge over the top in vthe back and i think it may be stretching out as i wear it as oppossed to it shrinking me, but overall, it is the best shapewear i have ever purchased. i love it and would recommend it to anyone.",customer support,delivery,0.22690843709003997
Product is as shown but they didnt have it in stock and it took them almost a month to ship. And then instead of sending next day to compensate they sent it regular mail so it took another week to receive. Not too happy with their customer service.,customer support,delivery,0.22372620946058303
"Purchased this screen last week and it came with noticeable scrapes across the top. The box it came in was gigantic with plenty of packaging material, but the screen was packaged loosely at the bottom. However, since it was in another smaller box, I'm thinking that the scraping was there to begin with, and not from shipping. Still deciding whether to go through the trouble of exchanging it since another reviewer said they had the same damage. I wouldn't want to risk getting another with the same damage and I really need a screen right now. Other than the damage, it's a very nice screen.",delivery,pricing,0.22320551674447714
"Please note that I ordered three of these items as gifts and was surprised to see that only one arrived in its original packaging (with plastic cover and without any signs of it being worn). The other two had no plastic cover and had obvious streaks on the material. All three were advertized as ""New"" on Amazon site. Before you decide to buy new item, beware that you may be receiving item that someone else has returned so please inspect for any signs of item being worn (if fabric is stretched or not in its original plastic cover). These items should be advertized correctly and not sold as ""New""",delivery,customer support,0.2222641065579513
"The package says it goes from lower belly to just under bust. I am a short woman and it doesn't reach my ribs leaving me with two huge rolls of fat on the front and back. It takes me in great, love that about it but because it isn't long enough I can't wear it anywhere:(",delivery,customer support,0.22069257932898403
"Outrun was the biggest disappointment of my holidays.If you've just come home from a life in 1985 you might enjoy this. I read the reviews before buying but it didn't sink in what Arcade style meant. I am an addicted follower of Colin MacRea rally and thought to race a ferrari across the US would be cool. I was wrong. The games is to car racing what space invaders is to ""Battlefield"". The landscape moves instead of the car and you have these idiotic stages like impress your girlfriend with how many slides you can do. Total rubbish. Not anyones fault but mine, but I live in Ireland and got it shipped through Florida so it is a costly mistake.",delivery,customer support,0.21965848231533922
"After I had a DVT my doctor required me to wear compression stockings. I wore ugly white TED hose and yucky thick brown stockings. Then I found Jobst UltraSheer. They gave me the compression I needed (15-20,) but looked like regular pantyhose. Even though my blood clot has been gone for 4 years, I still buy these to wear as support stockings because they make my legs feel so nice.**Note, I have problems with the rubberized tops rolling down my thigh. I tried the Jobst adhesive, but I hated having my skin pulled all day. I bought an inexpensive garter belt and it works fine and helps keep the stockings from rolling.",pricing,other,0.21928789796389148
"While the movie in itself was better than i expected what i didnt expect was the ""non existent"" Thai soundtrack. While the option was on the disc menu (as well as stated on the package) the Thai soundtrack does not exist. No matter what you choose, Thai or English, English is what you get and while there are some exceptions most dubbing is ridiculous at best and the dubbing on this title is sub par. While this review covers only the first movie of the two the other may remain in plastic never to see the inside of my dvd player. Its a shame and a sham when you purchase what claims to be original and is not. Very disapointed in this offering from Tokyo Shock.",delivery,pricing,0.21897607497415372
"What it is about ""Henry Dog"". My daughter was 6 when we gave her Henry. Love is not the word. Obsession! A few years later my ex-wife decided he had to go. Under the guise of an ""incurable"" lice infection my ex-wife threw him out. Trauma followed. We bought a replacement which my daughter has safely on her closet shelf. He is thread bare. I found him online and was overwhelmed to read the reviews at Amazon.com. None had less than 5 stars. Each story told how this little guy had touched their lives. These Henry owners, both girls and boys, cherished him as if he had been a ""real"" dog. I guess to them, he is. Daddy had to buy his little (40 year old) daughter a new one. I got both the 14"" and 3"". I was on the phone when she opened the box..... Henry was home again. My granddaughter saw Henry got excited and wanted one also. She is 19 years old. This company should bottle ""Henry Dog`s"" charisma. Thanks for keeping him alive.",customer support,pricing,0.21826840081107107
"For anybody who's looking for the 1978 movie with Lauren Bacall - this is not it ! Actually it's a 12 minute CBS music video by a group called ""Perfect Gentleman"" with 2 titles on it: ""Ooh la la"" and ""One more Chance"". This is not a rating of this video (I didn't bother watching it) but just of the fact that there's absolutely no information in the Amazon product details which could have told me this wasn't the feature film I was looking for before I ordered it. That's even more a pity as it was the fastest delivery I ever got from the US to Europe by Mail - a very short-lived joy.",delivery,customer support,0.21556896410410273
"Excellent product. However, they are very difficult to get on for older people. I feel like I've had a full day workout after getting them on. Also, as the day wears on, they begin to roll down from the top and create a very deep ridge in the skin. I have to wear them, so if those two difficulties could be addressed it would be such a help.",other,pricing,0.21389632797206806
"The official Chrono Trigger OST has 3 discs. This version has some of the major tracks on it, the audio quality is good, but Caveat Emptor (buyer beware) this is a Chinese knock-off.Oh and if you buy the 3 disc version, make sure the cover does not have a green and red logo reading ""FX"", for this is also a counterfeit. The serial numbers on the real soundtrack CDs are PSCN-5021, PSCN-5022, and PSCN-5023.",product quality,delivery,0.21187923166760197
"I received my Squeem 1 month ago and was super excited when i first wore it but then the bone started sticking into my back right under my bra line it wasnt very comfortable not like when i tried it in the store and the top kept rolling over giving me the appearance of more rolls in the back. This was definaitely NOT the look i was going for LOL. Luckily i decided to dtop in the store where i first saw & tried it and spoke to one of the clerks who told me i had to pull it all the was down till it was half-way covering my butt & hips. EUREKA!! What a difference this made now i'm loving it and hardly leave home without it. I originally bought the XL nude now i'm getting ready to purchase the black vest in a L. Great product, my only complaint is that the bones could be firmer.",customer support,delivery,0.211299768893406
"I've had the camcorder for a while now, and was hoping to be able to use the USB streaming feature to make small computer movies and send them to my friends and family overseas. Although the camcorder is good the included software is weak and the USB streaming makes a very choppy poor quality AVI file. I recently got a new computer and could not find the device driver disk that came with the camcorder. Sony technical support was a joke and they ended up trying to sell me a driver for my camcorder. So now I have a camcorder that I can plug into my TV or record onto a VHS (Do people still use VHS?) but any dreams I have of putting something on my computer are fading fast. I'm going to have to find a new way to send my parents the video I took of my new house.Frankly in this day and age an analogue camcorder is a waste of money.",product quality,pricing,0.20985796516530067
"Did not like the pants at all, and threw them in the trash rather than pay return postage. Flimsy, smelled of dye, cheap fabric, etc. Too bad.",product quality,delivery,0.20895636310948792
